rt,react,mt,mad,tot_dist,auc,labels
0.619795600000543,0.159889000000476,0.459906600000068,0.0517577787703157,0.358167813203347,0,con
0.610068599999977,0.110002599999461,0.500066000000515,0.0711994669479443,0.364389700167589,0.00894443374875462,con
0.60004200000003,0.190097700000479,0.409944299999552,0.0288823575514234,0.351794442671294,6.95671352908672e-06,con
0.580022899999676,0.180092099999456,0.39993080000022,0.048259881527068,0.358588510291255,0.00500712566136852,con
0.609854299999824,0.189828599999601,0.420025700000224,0.0500313510700456,0.365079578000424,0.00477551175775338,con
0.660065000000031,0.190081099999588,0.469983900000443,0.115772894413514,0.406721219462771,0.015633976906662,con
0.629986599999938,0.19997770000009,0.430008899999848,0.0569421474357595,0.357315005656669,4.56122411884476e-06,con
0.620029499999873,0.210109200000261,0.409920299999612,0.0445887059527748,0.358017103058204,9.74560090306845e-06,con
0.689957999999933,0.179910400000153,0.51004759999978,0.131915003194288,0.434624854100694,0.0182507996682646,con
0.569995999999264,0.160290399999212,0.409705600000052,0.0569327139595577,0.349622164410149,0.000693815833532577,con
0.610029000000395,0.0700305000000299,0.539998500000365,0.0691376550451051,0.380262354663754,0.00207397836091241,con
0.489885300000424,0.0599478000003728,0.429937500000051,0.043717784539095,0.364693507726129,0.000708663879916981,con
0.570045499999651,0.160029699999541,0.41001580000011,0.0646104493209264,0.366639421289189,0.00846891518093981,con
0.569992100000491,0.12017460000061,0.449817499999881,0.124394514181785,0.423837067161063,0.0159140082473395,con
0.550001599999632,0.169991900000241,0.380009699999391,0.0450004682271494,0.351705658413226,0.000460823134190464,con
0.560017699999662,0.230071999999382,0.32994570000028,0.0587167292397262,0.360588950363083,0.000560532576824925,con
0.559929200000624,0.219978000000083,0.339951200000542,0.0415342861231297,0.355129607628326,0.00113738726477807,con
0.610087500000191,0.220032300000639,0.390055199999551,0.09634857341465,0.39245999182183,0.0112037847303734,con
0.560164299999997,0.139985400000114,0.420178899999883,0.0481406150273885,0.352638747816951,0.000969231551685221,con
0.59006060000047,0.150010500000462,0.440050100000008,0.0329569598674359,0.353864091927712,0.00267542816870276,con
0.59003389999998,0.120183899999574,0.469850000000406,0.0577442589427058,0.361513726391391,0.00242049561689933,con
0.700472700000319,0.219986099999915,0.480486600000404,0.046942193625383,0.344820482178146,0.0026685129606665,con
0.619870599999558,0.16004410000005,0.459826499999508,0.0440652638430715,0.353104136120424,0.00220736461451227,con
0.57005190000018,0.169985500000621,0.40006639999956,0.0574125296263648,0.353824267282191,0.000607690514859826,con
0.590089499999522,0.180065999999897,0.410023499999625,0.0514532899751011,0.360741788947068,0.00655548810704148,con
0.630076799999188,0.090058499999941,0.540018299999247,0.155464754543253,0.469799873349911,0.0155434873898371,con
0.519961400000284,0.120180400000208,0.399781000000075,0.0452212060397919,0.359880910137614,0.00182817560591128,con
0.540103499999532,0.100045000000136,0.440058499999395,0.0958806319776096,0.395622506396126,0.00758913316870108,con
0.499948800000311,0.139920499999789,0.360028300000522,0.0427845072747167,0.359995581824176,0.000147621749177933,con
0.589994700000716,0.210028700000294,0.379966000000422,0.0346531752379815,0.356554057913265,0.000137621601998099,con
0.530010700000275,0.0899616000006063,0.440049099999669,0.0544152243343325,0.366864872308857,0.00460025329529842,con
0.519806899999821,0.119962999999188,0.399843900000633,0.0352404633885941,0.358418157944861,0.00177191391309203,con
0.479984999999942,0.120426100000259,0.359558899999683,0.0265618295917208,0.348580677168518,0.000105480506806451,con
0.540021800000432,0.180041999999958,0.359979800000474,0.0473821858355757,0.350009512495875,0.000108348225312954,con
0.600053499999376,0.169916099999682,0.430137399999694,0.0605024303017183,0.34806311132509,0.000545557140938454,con
0.67009169999983,0.199998899999628,0.470092800000202,0.0976682690852928,0.403880888094378,0.0182545174869378,con
0.519987000000583,0.159996200000023,0.35999080000056,0.0416599220812074,0.346335377270879,8.95029328540715e-05,con
0.550062600000274,0.180022700000336,0.370039899999938,0.0477613559269304,0.359166464292429,0.000408896753290691,con
0.589989300000525,0.129896000000372,0.460093300000153,0.0968542557848883,0.399253850467747,0.0084063257253373,con
0.560082700000748,0.110066900000675,0.450015800000074,0.0471822987534343,0.356133159294868,0.000384942444842739,con
0.540120999999999,0.199953700000151,0.340167299999848,0.0491167231535213,0.353698330459752,0.000376627925200219,con
0.519970400000602,0.110018000000309,0.409952400000293,0.046175458887297,0.355232689776003,9.46860877298027e-06,con
0.669772499999453,0.159794799999872,0.509977699999581,0.0302801133963333,0.352798535937056,0.00168022295471196,con
0.589936499999567,0.200016300000243,0.389920199999324,0.0475044978879825,0.363253886489997,0.00432805354891387,con
0.590024199999789,0.190001699999812,0.400022499999977,0.0723566167876633,0.373254066057231,0.00669154644236699,con
0.550026799999614,0.129945199999383,0.420081600000231,0.0760594380827832,0.374776723263421,0.00749526556130731,con
0.579974999999649,0.180019899999934,0.399955099999715,0.0880295407594176,0.384049820881987,0.0101881087312184,con
0.579985800000031,0.179996800000481,0.39998899999955,0.105819129852871,0.394471117591738,0.0134785169347991,con
0.579954900000303,0.139934599999833,0.440020300000469,0.0996956298746475,0.408524164880444,0.0124804358967823,con
0.529961700000058,0.170242799999869,0.359718900000189,0.0364398758567598,0.34978236785033,0.00134976285466968,con
0.490026200000102,0.0900034000005689,0.400022799999533,0.0595776622753982,0.357363800958097,0.00111135355332046,con
0.520012799999677,0.150057500000003,0.369955299999674,0.0530974874794089,0.352270900665468,0.000424879767621899,con
0.590087500000664,0.169999100000496,0.420088400000168,0.114228908961058,0.405648961106692,0.0137867547056804,con
