rt,labels
0.51466500000015,con
0.448012899999867,con
0.601702800000112,con
0.563349900000048,con
0.656566000000112,con
0.655588500000249,con
0.568966799999998,con
0.680716299999858,con
0.615817800000059,con
0.515497300000334,con
0.570992599999954,con
0.483217700000296,con
0.535116000000016,con
0.672465099999954,con
0.525964800000111,con
0.629328399999395,con
0.680707200000143,con
0.556343000000197,con
0.727919199999633,con
0.643142399999306,con
0.666703299999426,con
0.655386999999791,con
0.679009499999665,con
0.638767700000244,con
0.666569699999854,con
0.716454200000044,con
0.721952799999599,con
0.63807050000014,con
0.574874199999613,con
0.570516100000532,con
0.684698500000195,con
0.735951999999997,con
0.533559600000444,con
0.582901999999194,con
0.660244199999397,con
0.432358199999726,con
0.645629200000258,con
0.590733700000783,con
0.719969900000251,con
0.589611499999592,con
0.676998099999764,con
0.680918299999576,con
0.587907099999939,con
0.511800000000221,con
0.721376800000144,con
0.470948899999712,con
0.421620399999483,con
0.722499299999981,con
0.732065500000317,con
0.637387099999614,con
0.68787489999977,con
0.57108320000043,con
0.501638400000047,con
0.599125400000048,con
0.658561299999747,con
0.608941999999843,con
0.575908400000117,con
0.63399440000012,con
0.707546699999511,con
0.576543299999685,con
0.516344800000297,con
0.61624909999955,con
0.443909300000087,con
0.622709199999917,con
0.564636999999493,con
0.639850500000648,con
0.618023099999846,con
0.661818100000346,con
0.474095100000341,con
0.589819499999976,con
0.510113100000126,con
0.685999199999969,con
0.736121699999785,con
0.613876300000811,con
0.517625700000281,con
0.599104300000363,con
0.569586600000093,incon
0.53702949999979,incon
0.444708800000171,incon
0.500603599999977,incon
0.613791799999944,incon
0.668884700000035,incon
0.532457899999827,incon
0.62624760000017,incon
0.695670300000074,incon
0.703489900000022,incon
0.524060600000212,incon
0.614104100000077,incon
0.557123299999603,incon
0.660538799999813,incon
0.542757900000197,incon
0.628542800000105,incon
0.650382799999988,incon
0.683420300000307,incon
0.597901900000124,incon
0.671320599999945,incon
0.464527900000121,incon
0.618688699999893,incon
0.628471400000308,incon
0.621913599999971,incon
0.617279800000688,incon
0.708940299999995,incon
0.664354999999887,incon
0.685155499999382,incon
0.626640599999519,incon
0.644258899999841,incon
0.627907500000219,incon
0.589631099999679,incon
0.617114200000287,incon
0.650670099999843,incon
0.527662199999213,incon
0.483255199999803,incon
0.44733240000005,incon
0.564930999999888,incon
0.559074600000713,incon
0.482728599999973,incon
0.654357100000198,incon
0.653373800000736,incon
0.607245199999852,incon
0.479020600000695,incon
0.68001649999951,incon
0.608127499999682,incon
0.565230500000325,incon
0.60471680000046,incon
0.580447999999706,incon
0.636262699999861,incon
0.642009700000017,incon
0.597379899999396,incon
0.483392699999968,incon
0.520961399999578,incon
0.650172900000143,incon
0.738663499999348,incon
0.610237500000039,incon
0.502044800000476,incon
0.643362499999967,incon
0.698743400000239,incon
0.666727800000444,incon
0.618003699999463,incon
0.591292199999771,incon
0.689039599999887,incon
0.615718500000185,incon
0.663376499999686,incon
0.639482399999906,incon
0.62121339999976,incon
0.610720599999695,incon
0.468295099999523,incon
0.530197199999748,incon
0.531406199999765,incon
0.506858599999759,incon
0.710040300000401,incon
0.591987400000107,incon
0.619680400000107,incon
0.611302899999828,incon
0.734779600000365,incon
0.583296200000404,incon
0.506546300000082,incon
0.648371499999485,incon
0.581371100000069,incon
0.61901940000007,incon
0.611202400000366,incon
0.684949499999675,incon
