Flavor,Effect,Actual_Diff,SD_Act_Diff,Actual_dz,CI_Lower,CI_Upper
noTrajNorm_noStandardization,react,-2.34385934086389,10.1337948209132,0.231291375273047,0.0126600287592974,0.742798824573617
noTrajNorm_noStandardization,mt,-12.0070116946873,10.0869907400373,1.19034625926929,0.82982659930601,1.72173330660322
noTrajNorm_noStandardization,mad,-0.00767135330363633,0.0102176222046553,0.750796334996725,0.363109204382418,1.35818893625326
noTrajNorm_noStandardization,com,-0.0858737842986939,0.223504225819894,0.38421548399668,0.0662815569304163,0.771554354900154
noTrajNorm_noStandardization,tot_dist,-0.00868069408610361,0.00970622807712036,0.894342685658278,0.50819064930269,1.49732538569766
noTrajNorm_noStandardization,auc,-0.0012053964625687,0.00182428843754428,0.660748836511461,0.284175394770292,1.21136084478243
noTrajNorm_noStandardization,max_vel,-0.0128580868418512,0.058313634978669,0.220498805237483,0.0127024274970873,0.589119204772005
noTrajNorm_noStandardization,ra,0.00253553935026485,0.0035465150058253,0.714938283385274,0.367985486057954,1.17193433854412
noTrajNorm_noStandardization,kb_rt,-19.9291648895067,16.9832725616099,1.17345846138958,0.832792374189463,1.71733605848185
noTrajNorm_noStandardization,head_angle,2.89763704086209,4.48676813430111,0.646729943691486,0.390923835294923,0.988924693898792
noTrajNorm_noStandardization,iep,0.015321926729087,0.0218552914017735,0.714025666211367,0.445643004835908,1.07246113511037
noTrajNorm_noStandardization,traj,0.00880133653875929,0.0116956652169919,0.71521349767835,0.386330878764001,1.14366136220267
noTrajNorm_noStandardization,x_std,0.00131470486457884,0.00358167296092489,0.234159066700787,0.0180422729399173,0.49487777387102
noTrajNorm_noStandardization,vel,0.0745072496041145,0.0975770012918668,0.742226602641538,0.482720742356606,1.09270391687589
TrajNorm_noStandardization,react,-1.76345161130083,9.5206617888424,0.185223637853357,0.00965797367848526,0.647318554198535
TrajNorm_noStandardization,mt,-13.1277162760327,11.2288776538455,1.16910315355844,0.922880135683237,1.553009578994
TrajNorm_noStandardization,mad,-0.00772586100734496,0.00904814385400747,0.853861425282616,0.45579561186712,1.45633511314026
TrajNorm_noStandardization,com,-0.223543188931166,0.483960547605101,0.461903744091081,0.138938069630666,0.819266099379371
TrajNorm_noStandardization,tot_dist,-0.00898766892167153,0.00947212460446865,0.948854591443131,0.546816365319206,1.59457770612209
TrajNorm_noStandardization,auc,-0.170509722100234,0.238643548126648,0.714495419795485,0.354041152698857,1.20503167644458
TrajNorm_noStandardization,max_vel,0,0,NaN,NaN,NaN
TrajNorm_noStandardization,ra,0.346752244673617,0.505432546154857,0.686050487471729,0.32980754723026,1.15576799450434
TrajNorm_noStandardization,kb_rt,-0.0199291648895067,0.0169832725616099,1.17345846138958,0.832792374189462,1.71733605848185
TrajNorm_noStandardization,head_angle,0.58043735126397,1.43017767016163,0.40466142920378,0.0859624316252385,0.740097060590763
TrajNorm_noStandardization,iep,0.0103527822997634,0.0236774969951568,0.433987978824604,0.116158580841174,0.769275036123976
TrajNorm_noStandardization,traj,0.000871709306373136,0.00275486692541643,0.308765751315366,0.0320372089420528,0.634980264673167
TrajNorm_noStandardization,x_std,0.00208846880413778,0.00435839441554408,0.359771983496857,0.105632658446619,0.622659422382956
TrajNorm_noStandardization,vel,0,0,NaN,NaN,NaN
TrajNorm_Standardization,react,-0.0503327952795692,0.191442338621006,0.262913604389319,0.0163300951127334,0.694233254221819
TrajNorm_Standardization,mt,-0.26229702002856,0.209384305558031,1.25270621085716,0.99609811432902,1.64102529835711
TrajNorm_Standardization,mad,-0.22711604368866,0.262360564359411,0.865663802192203,0.45971527210783,1.50884220648901
TrajNorm_Standardization,com,-0.223543188931166,0.483960547605101,0.461903744091081,0.138938069630666,0.819266099379371
TrajNorm_Standardization,tot_dist,-0.249294689188828,0.282884323451702,0.88126017782456,0.489763942940233,1.51140579675751
TrajNorm_Standardization,auc,-0.216085360663081,0.300257902252447,0.719665857391503,0.35737308946004,1.22205664984893
TrajNorm_Standardization,max_vel,NaN,NaN,NaN,NaN,NaN
TrajNorm_Standardization,ra,0.346752244673617,0.505432546154857,0.686050487471729,0.32980754723026,1.15576799450434
TrajNorm_Standardization,kb_rt,-0.273573781995668,0.230545474162853,1.1866369660435,0.84356728829386,1.72495113537581
TrajNorm_Standardization,head_angle,0.58043735126397,1.43017767016163,0.40466142920378,0.0859624316252385,0.740097060590763
TrajNorm_Standardization,iep,0.0103527822997634,0.0236774969951568,0.433987978824604,0.116158580841174,0.769275036123976
TrajNorm_Standardization,traj,0.000871709306373136,0.00275486692541643,0.308765751315366,0.0320372089420528,0.634980264673167
TrajNorm_Standardization,x_std,0.00208846880413778,0.00435839441554408,0.359771983496857,0.105632658446619,0.622659422382956
TrajNorm_Standardization,vel,0,0,NaN,NaN,NaN
