Flavor,Comparison,Actual_dz_Diff,CI_Lower,CI_Upper,P_Value
noTrajNorm_noStandardization,mt_minus_react,0.959054883996241,0.277655451840099,1.59729272722261,0.0082
noTrajNorm_noStandardization,mad_minus_react,0.519504959723678,0.0928584248615364,1.01301702076208,0.0204
noTrajNorm_noStandardization,com_minus_react,0.152924108723633,-0.467524111969866,0.621713800023237,0.6408
noTrajNorm_noStandardization,tot_dist_minus_react,0.663051310385231,0.212790759207212,1.16333387726715,0.0058
noTrajNorm_noStandardization,auc_minus_react,0.429457461238414,-0.0187981400124478,0.886944993404317,0.0596
noTrajNorm_noStandardization,react_minus_max_vel,0.0107925700355633,-0.362945094048402,0.494022829992834,0.9216
noTrajNorm_noStandardization,ra_minus_react,0.483646908112227,-0.0124364721605371,0.921741283016089,0.055
noTrajNorm_noStandardization,kb_rt_minus_react,0.942167086116536,0.327049165022071,1.55402655316104,0.0038
noTrajNorm_noStandardization,head_angle_minus_react,0.415438568418439,-0.0972043023232448,0.80746324252976,0.1066
noTrajNorm_noStandardization,iep_minus_react,0.48273429093832,-0.00983338303848935,0.873199830297523,0.0528
noTrajNorm_noStandardization,traj_minus_react,0.483922122405304,-0.0332967600003171,0.922224148067075,0.0654
noTrajNorm_noStandardization,x_std_minus_react,0.00286769142773999,-0.608392785392469,0.402431270850546,0.9564
noTrajNorm_noStandardization,vel_minus_react,0.510935227368492,-0.0140319029459269,0.912056214163466,0.0564
noTrajNorm_noStandardization,mt_minus_mad,0.439549924272563,-0.166940119334778,1.03145995260037,0.156
noTrajNorm_noStandardization,mt_minus_com,0.806130775272608,0.448558013833576,1.29882545934508,0
noTrajNorm_noStandardization,mt_minus_tot_dist,0.29600357361101,-0.276714889118159,0.863523537798118,0.3072
noTrajNorm_noStandardization,mt_minus_auc,0.529597422757827,-0.0527528577883086,1.13546950341816,0.0726
noTrajNorm_noStandardization,mt_minus_max_vel,0.969847454031805,0.467411550705121,1.5577461495172,0
noTrajNorm_noStandardization,mt_minus_ra,0.475407975884014,0.0252632900884864,1.01019208252133,0.036
noTrajNorm_noStandardization,mt_minus_kb_rt,0.0168877978797055,-0.594816294889699,0.662220758430641,0.9708
noTrajNorm_noStandardization,mt_minus_head_angle,0.543616315577802,0.202315226340123,0.992760652784392,0.0014
noTrajNorm_noStandardization,mt_minus_iep,0.476320593057921,0.119724903300371,0.945454160851673,0.0052
noTrajNorm_noStandardization,mt_minus_traj,0.475132761590938,0.084268868121549,0.975538615358971,0.0142
noTrajNorm_noStandardization,mt_minus_x_std,0.956187192568501,0.640731225086043,1.4389312081637,0
noTrajNorm_noStandardization,mt_minus_vel,0.44811965662775,0.119144547485578,0.885624356983189,0.0072
noTrajNorm_noStandardization,mad_minus_com,0.366580851000045,-0.0523733784085558,0.887257382347551,0.0852
noTrajNorm_noStandardization,tot_dist_minus_mad,0.143546350661553,-0.0268229189859288,0.294977887976,0.09
noTrajNorm_noStandardization,mad_minus_auc,0.0900474984852644,-0.0843989359398907,0.333561807106276,0.3486
noTrajNorm_noStandardization,mad_minus_max_vel,0.530297529759242,0.123333337386338,1.09701238181444,0.009
noTrajNorm_noStandardization,mad_minus_ra,0.0358580516114511,-0.216980988173815,0.362464297317947,0.7448
noTrajNorm_noStandardization,kb_rt_minus_mad,0.422662126392857,-0.26836113267228,1.09154920306656,0.2178
noTrajNorm_noStandardization,mad_minus_head_angle,0.104066391305239,-0.15554148280527,0.493558264357923,0.4638
noTrajNorm_noStandardization,mad_minus_iep,0.0367706687853583,-0.183037509882902,0.384241020269437,0.7472
noTrajNorm_noStandardization,mad_minus_traj,0.0355828373183747,-0.210711437290602,0.364859621349642,0.7296
noTrajNorm_noStandardization,mad_minus_x_std,0.516637268295938,0.0613551626984442,1.13176594237939,0.0266
noTrajNorm_noStandardization,mad_minus_vel,0.00856973235518654,-0.257729954093005,0.413706492558733,0.9248
noTrajNorm_noStandardization,tot_dist_minus_com,0.510127201661598,0.0979798041645114,1.06046727765472,0.0172
noTrajNorm_noStandardization,auc_minus_com,0.276533352514781,-0.101376813472608,0.745324900024213,0.1496
noTrajNorm_noStandardization,com_minus_max_vel,0.163716678759196,-0.174969561836023,0.478995832504351,0.367
noTrajNorm_noStandardization,ra_minus_com,0.330722799388594,0.00810518446337818,0.691752730001507,0.046
noTrajNorm_noStandardization,kb_rt_minus_com,0.789242977392903,0.409781159453049,1.28941950474494,0
noTrajNorm_noStandardization,head_angle_minus_com,0.262514459694806,-0.0213713800240209,0.559599830449255,0.0664
noTrajNorm_noStandardization,iep_minus_com,0.329810182214687,0.039868970900292,0.629793488799031,0.028
noTrajNorm_noStandardization,traj_minus_com,0.33099801368167,0.0422978920578721,0.641455575531794,0.0256
noTrajNorm_noStandardization,com_minus_x_std,0.150056417295893,-0.148331718512992,0.498250601674299,0.3502
noTrajNorm_noStandardization,vel_minus_com,0.358011118644859,0.0979108847547532,0.632978287697502,0.0104
noTrajNorm_noStandardization,tot_dist_minus_auc,0.233593849146818,0.0610797567122531,0.462507733364575,0.0052
noTrajNorm_noStandardization,tot_dist_minus_max_vel,0.673843880420795,0.258614005310828,1.23604468617699,0.0014
noTrajNorm_noStandardization,tot_dist_minus_ra,0.179404402273004,-0.056605183756284,0.50772248977745,0.1446
noTrajNorm_noStandardization,kb_rt_minus_tot_dist,0.279115775731304,-0.439152716012037,0.962468942099314,0.4084
noTrajNorm_noStandardization,tot_dist_minus_head_angle,0.247612741966792,0.00741891117810217,0.653151193677237,0.0412
noTrajNorm_noStandardization,tot_dist_minus_iep,0.180317019446911,-0.0207863482661441,0.528399924755367,0.0866
noTrajNorm_noStandardization,tot_dist_minus_traj,0.179129187979928,-0.0550093526888074,0.525108956289437,0.14
noTrajNorm_noStandardization,tot_dist_minus_x_std,0.660183618957491,0.211443877297971,1.29328296618311,0.0068
noTrajNorm_noStandardization,tot_dist_minus_vel,0.15211608301674,-0.0955365769785186,0.567989128998371,0.2704
noTrajNorm_noStandardization,auc_minus_max_vel,0.440250031273977,0.0424007775785611,0.938407170623529,0.0282
noTrajNorm_noStandardization,ra_minus_auc,0.0541894468738133,-0.138954654878261,0.190266791931182,0.5164
noTrajNorm_noStandardization,kb_rt_minus_auc,0.512709624878122,-0.118765086597998,1.15845728008164,0.1014
noTrajNorm_noStandardization,auc_minus_head_angle,0.0140188928199746,-0.201442350938816,0.344703419754905,0.9242
noTrajNorm_noStandardization,iep_minus_auc,0.0532768296999061,-0.236479017564917,0.23146067778171,0.6238
noTrajNorm_noStandardization,traj_minus_auc,0.0544646611668896,-0.180657813520424,0.195472522251555,0.5776
noTrajNorm_noStandardization,auc_minus_x_std,0.426589769810674,0.0341579296568743,0.975385547460651,0.0366
noTrajNorm_noStandardization,vel_minus_auc,0.0814777661300778,-0.274924098189959,0.319160590247536,0.576
noTrajNorm_noStandardization,ra_minus_max_vel,0.494439478147791,0.0927593998898428,0.914124634139389,0.0176
noTrajNorm_noStandardization,kb_rt_minus_max_vel,0.952959656152099,0.605057945719957,1.43407355805161,0
noTrajNorm_noStandardization,head_angle_minus_max_vel,0.426231138454003,0.0532336397358577,0.792396834426294,0.0256
noTrajNorm_noStandardization,iep_minus_max_vel,0.493526860973883,0.13803681959885,0.857593772730721,0.0068
noTrajNorm_noStandardization,traj_minus_max_vel,0.494714692440867,0.112372171754138,0.891977626374342,0.0104
noTrajNorm_noStandardization,x_std_minus_max_vel,0.0136602614633033,-0.434749099219434,0.385249283940695,0.9972
noTrajNorm_noStandardization,vel_minus_max_vel,0.521727797404055,0.151590311810248,0.887587474081043,0.0066
noTrajNorm_noStandardization,kb_rt_minus_ra,0.458520178004309,-0.0811928980555719,1.07048281046561,0.0932
noTrajNorm_noStandardization,ra_minus_head_angle,0.0682083396937879,-0.0988184936720759,0.258857583745978,0.4196
noTrajNorm_noStandardization,ra_minus_iep,0.000912617173907226,-0.15076798775157,0.163419073263409,0.9906
noTrajNorm_noStandardization,traj_minus_ra,0.000275214293076309,-0.0876856951420339,0.074295825705391,0.9816
noTrajNorm_noStandardization,ra_minus_x_std,0.480779216684487,0.145146237304093,0.906577840832073,0.007
noTrajNorm_noStandardization,vel_minus_ra,0.0272883192562645,-0.173855589447714,0.22200566595658,0.8028
noTrajNorm_noStandardization,kb_rt_minus_head_angle,0.526728517698096,0.0579305923798852,1.1015049876515,0.0262
noTrajNorm_noStandardization,kb_rt_minus_iep,0.459432795178216,-0.025750225790162,1.04556035779864,0.0642
noTrajNorm_noStandardization,kb_rt_minus_traj,0.458244963711232,-0.0480376489018665,1.04430955914788,0.0744
noTrajNorm_noStandardization,kb_rt_minus_x_std,0.939299394688796,0.556541626847355,1.48521665211345,0
noTrajNorm_noStandardization,kb_rt_minus_vel,0.431231858748044,-0.0183371850559088,0.991043776196287,0.061
noTrajNorm_noStandardization,iep_minus_head_angle,0.0672957225198807,0.00061148125133953,0.147488993718754,0.0468
noTrajNorm_noStandardization,traj_minus_head_angle,0.0684835539868642,-0.0734936528029776,0.226527165071819,0.3478
noTrajNorm_noStandardization,head_angle_minus_x_std,0.412570876990699,0.150262074120943,0.716807175782958,0.0048
noTrajNorm_noStandardization,vel_minus_head_angle,0.0954966589500524,0.0390593323364838,0.162300279528445,0.0014
noTrajNorm_noStandardization,traj_minus_iep,0.00118783146698354,-0.126398113829809,0.129378823263965,0.993
noTrajNorm_noStandardization,iep_minus_x_std,0.47986659951058,0.186764572195946,0.817695163433959,0.0042
noTrajNorm_noStandardization,vel_minus_iep,0.0282009364301717,-0.0692932422724711,0.117402496798026,0.5588
noTrajNorm_noStandardization,traj_minus_x_std,0.481054430977564,0.174218744877152,0.865186571306754,0.0038
noTrajNorm_noStandardization,vel_minus_traj,0.0270131049631882,-0.134244292214592,0.188405468707404,0.7382
noTrajNorm_noStandardization,vel_minus_x_std,0.508067535940752,0.251401313167331,0.809125716627552,0.0006
TrajNorm_noStandardization,mt_minus_react,0.983879515705088,0.418175406360762,1.43867484852287,0.0012
TrajNorm_noStandardization,mad_minus_react,0.66863778742926,0.250927525081197,1.18096238055792,0.0026
TrajNorm_noStandardization,com_minus_react,0.276680106237724,-0.279983914910614,0.67850111045619,0.327
TrajNorm_noStandardization,tot_dist_minus_react,0.763630953589775,0.32134283222156,1.30377391763029,0.0006
TrajNorm_noStandardization,auc_minus_react,0.529271781942128,0.0750284609702748,0.979550916037543,0.0244
TrajNorm_noStandardization,max_vel_minus_react,NaN,NaN,NaN,0
TrajNorm_noStandardization,ra_minus_react,0.500826849618373,0.0335525145067345,0.94771727970818,0.0376
TrajNorm_noStandardization,kb_rt_minus_react,0.988234823536226,0.400730539131747,1.58090334576765,0.001
TrajNorm_noStandardization,head_angle_minus_react,0.219437791350423,-0.286260279929917,0.577250729082305,0.3874
TrajNorm_noStandardization,iep_minus_react,0.248764340971248,-0.256178282028486,0.607562409090341,0.3236
TrajNorm_noStandardization,traj_minus_react,0.123542113462009,-0.376746062257622,0.472899596960967,0.6642
TrajNorm_noStandardization,x_std_minus_react,0.1745483456435,-0.315641993760423,0.503690765137055,0.4738
TrajNorm_noStandardization,vel_minus_react,NaN,NaN,NaN,0
TrajNorm_noStandardization,mt_minus_mad,0.315241728275828,-0.289727553395522,0.807792625703029,0.3016
TrajNorm_noStandardization,mt_minus_com,0.707199409467364,0.401134033932645,1.09981550775826,0
TrajNorm_noStandardization,mt_minus_tot_dist,0.220248562115313,-0.398660278335632,0.704632913246783,0.443
TrajNorm_noStandardization,mt_minus_auc,0.45460773376296,0.0150561439119888,0.890492044059069,0.0434
TrajNorm_noStandardization,max_vel_minus_mt,NaN,NaN,NaN,0
TrajNorm_noStandardization,mt_minus_ra,0.483052666086715,0.0760542104882523,0.907668443175504,0.0208
TrajNorm_noStandardization,kb_rt_minus_mt,0.00435530783113758,-0.519353297249568,0.562404211903707,0.9628
TrajNorm_noStandardization,mt_minus_head_angle,0.764441724354665,0.417677041830857,1.19485834974832,0
TrajNorm_noStandardization,mt_minus_iep,0.73511517473384,0.386114303944593,1.16855028159985,0
TrajNorm_noStandardization,mt_minus_traj,0.860337402243079,0.508971069155522,1.29561326843803,0
TrajNorm_noStandardization,mt_minus_x_std,0.809331170061588,0.48803975070706,1.23308732538808,0
TrajNorm_noStandardization,vel_minus_mt,NaN,NaN,NaN,0
TrajNorm_noStandardization,mad_minus_com,0.391957681191536,0.0461077374988074,0.885412789110423,0.0258
TrajNorm_noStandardization,tot_dist_minus_mad,0.094993166160515,-0.0890549755398561,0.268063402262986,0.262
TrajNorm_noStandardization,mad_minus_auc,0.139366005487132,-0.083895377512919,0.44423135388472,0.2374
TrajNorm_noStandardization,max_vel_minus_mad,NaN,NaN,NaN,0
TrajNorm_noStandardization,mad_minus_ra,0.167810937810887,-0.0746306871241312,0.513272170626862,0.1912
TrajNorm_noStandardization,kb_rt_minus_mad,0.319597036106966,-0.405153260139363,1.01906167604065,0.3752
TrajNorm_noStandardization,mad_minus_head_angle,0.449199996078837,0.123075084916216,0.950116785472373,0.004
TrajNorm_noStandardization,mad_minus_iep,0.419873446458012,0.106767844543824,0.909187105603539,0.0058
TrajNorm_noStandardization,mad_minus_traj,0.54509567396725,0.173068598274386,1.08984592041576,0.0036
TrajNorm_noStandardization,mad_minus_x_std,0.49408944178576,0.0569190321146721,1.07327445630388,0.0258
TrajNorm_noStandardization,vel_minus_mad,NaN,NaN,NaN,0
TrajNorm_noStandardization,tot_dist_minus_com,0.486950847352051,0.144388478894804,1.0264539320751,0.0044
TrajNorm_noStandardization,auc_minus_com,0.252591675704404,0.0116929876179366,0.577291644918539,0.0388
TrajNorm_noStandardization,max_vel_minus_com,NaN,NaN,NaN,0
TrajNorm_noStandardization,ra_minus_com,0.224146743380649,-0.00947533545545443,0.518834339996899,0.0594
TrajNorm_noStandardization,kb_rt_minus_com,0.711554717298501,0.299272569128581,1.25950601421404,0.0004
TrajNorm_noStandardization,com_minus_head_angle,0.0572423148873012,-0.234677656326384,0.339547891657528,0.6914
TrajNorm_noStandardization,com_minus_iep,0.0279157652664764,-0.257083848075065,0.303601641236022,0.8478
TrajNorm_noStandardization,com_minus_traj,0.153137992775715,-0.158387581696043,0.470476369785787,0.329
TrajNorm_noStandardization,com_minus_x_std,0.102131760594224,-0.203438796374734,0.400524688172954,0.5276
TrajNorm_noStandardization,vel_minus_com,NaN,NaN,NaN,0
TrajNorm_noStandardization,tot_dist_minus_auc,0.234359171647647,0.0528236996316218,0.52501010568963,0.01
TrajNorm_noStandardization,max_vel_minus_tot_dist,NaN,NaN,NaN,0
TrajNorm_noStandardization,tot_dist_minus_ra,0.262804103971402,0.060707799113059,0.592407414358729,0.008
TrajNorm_noStandardization,kb_rt_minus_tot_dist,0.224603869946451,-0.536987067578859,0.935026157017106,0.531
TrajNorm_noStandardization,tot_dist_minus_head_angle,0.544193162239352,0.243368292982725,1.06117610411813,0.0004
TrajNorm_noStandardization,tot_dist_minus_iep,0.514866612618527,0.221724455331403,1.02617898796503,0.0002
TrajNorm_noStandardization,tot_dist_minus_traj,0.640088840127765,0.285451633670894,1.22107959699808,0.0006
TrajNorm_noStandardization,tot_dist_minus_x_std,0.589082607946275,0.175997551267117,1.18491857348181,0.0064
TrajNorm_noStandardization,vel_minus_tot_dist,NaN,NaN,NaN,0
TrajNorm_noStandardization,max_vel_minus_auc,NaN,NaN,NaN,0
TrajNorm_noStandardization,auc_minus_ra,0.0284449323237553,-0.052654075049179,0.12216071765823,0.488
TrajNorm_noStandardization,kb_rt_minus_auc,0.458963041594098,-0.128582752376702,1.09325220342704,0.1226
TrajNorm_noStandardization,auc_minus_head_angle,0.309833990591705,0.105053611901066,0.624967858801186,0.0038
TrajNorm_noStandardization,auc_minus_iep,0.28050744097088,0.0841645677570376,0.587135709232911,0.0046
TrajNorm_noStandardization,auc_minus_traj,0.405729668480119,0.14450521681503,0.792810911794297,0.0038
TrajNorm_noStandardization,auc_minus_x_std,0.354723436298628,0.0393128833105303,0.759992189753369,0.0306
TrajNorm_noStandardization,vel_minus_auc,NaN,NaN,NaN,0
TrajNorm_noStandardization,ra_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_noStandardization,kb_rt_minus_max_vel,NaN,NaN,NaN,0
TrajNorm_noStandardization,head_angle_minus_max_vel,NaN,NaN,NaN,0
