rt,react,mt,mad,tot_dist,auc,labels
0.640032900000733,0.129994099999749,0.510038800000984,0.0408768363424516,0.35688612580106,0.00251359785181399,con
0.720007899999473,0.170016699999906,0.549991199999567,0.0752325001068894,0.380261797178689,0.00443789105358188,con
0.670014000001174,0.190005700000256,0.480008300000918,0.0531470362707018,0.362154479133946,0.00288788073516301,con
0.470066300000326,0.0900586999996449,0.380007600000681,0.0499726852946943,0.361709181083811,0.00373124437598327,con
0.590038599999389,0.209921400000894,0.380117199998494,0.0762275571681614,0.378562399781362,0.00873995638170116,con
0.419632299999648,0.0802693000005092,0.339362999999139,0.049294639659389,0.36739621446877,0.00460478490286124,con
0.540243899999041,0.139999900000475,0.400243999998565,0.0545952955988193,0.374263156156981,0.00459594951832381,con
0.570006399999329,0.189973099999406,0.380033299999923,0.0648344318280002,0.366732673936092,0.00536355223066067,con
0.610046600000715,0.149982400000226,0.460064200000488,0.0542180003068223,0.366487309203305,0.00681291273164811,con
0.660031299999901,0.209999400000015,0.450031899999885,0.0525568684697684,0.361739002022332,0.00163868250303232,con
0.559986600001139,0.0899733000005654,0.470013300000574,0.0511879776966779,0.368814209439446,0.00419813062316612,con
0.499944099999993,0.0898904000005132,0.41005369999948,0.0441252091057487,0.361303776804474,4.46192133702599e-05,con
0.52000020000014,0.0700441999997565,0.449956000000384,0.0347961364640407,0.362775356640453,0.00223006295982215,con
0.630078399999547,0.170078299999659,0.460000099999888,0.0547064987958482,0.36287537452858,0.000381476669390628,con
0.600042200001553,0.129944100001012,0.470098100000541,0.0613030385713974,0.372609572824305,0.00756551801917042,con
0.659944899998663,0.199965099998735,0.459979799999928,0.114611578147607,0.40828345954204,0.0129501292532627,con
0.470168599998942,0.0500347999986843,0.420133800000258,0.0549420054075623,0.374485942647765,0.00648132108157989,con
0.519936299999245,0.0799229999993258,0.440013299999919,0.0593878796557212,0.373900026532855,0.00479011973808126,con
0.439922400000796,0.019961100000728,0.419961300000068,0.0680646980676229,0.362744156053081,3.9672818207743e-06,con
0.559998699998687,0.140041399999973,0.419957299998714,0.0650483554261454,0.383035531765665,0.0082691991846085,con
0.450043799999548,0.0700725000006059,0.379971299998942,0.0332828216155932,0.374322046530273,0.00518098826815224,con
0.64003060000141,0.209980100000394,0.430050500001016,0.0336299045824544,0.355533506712597,0.000242272499405667,con
0.580016500000056,0.150050099999135,0.429966400000922,0.0298828132406614,0.366241313803612,0.000251287756650074,con
0.390002299998741,0.0399969999998575,0.350005299998884,0.0451039964171894,0.366200461619757,0.0052665653670143,con
0.590036499999769,0.169993199999226,0.420043300000543,0.0765540689314453,0.385012694007399,0.00918566370221284,con
0.630041499998697,0.210059600000022,0.419981899998675,0.0195400729227481,0.365191365463764,0.0009454184207823,con
0.620111700000052,0.14006049999989,0.480051200000162,0.0425946038573126,0.364710036508895,0.00404558440759497,con
0.70000970000001,0.200092600000062,0.499917099999948,0.172090255525793,0.499443822484232,0.0237762365247726,con
0.479961299999559,0.109945099999095,0.370016200000464,0.0248953313064049,0.36655900497387,0.00403960203805527,con
0.599931299999298,0.129891699998552,0.470039600000746,0.101386109999656,0.406714913057206,0.0144008933209376,con
0.620038200000636,0.079996200000096,0.54004200000054,0.122083120989648,0.452454060602114,0.0139606677700656,con
0.609995999999228,0.200018499999715,0.409977499999513,0.0219643700593975,0.367000758377363,0.0032890176651031,con
0.470035199999984,0.130009499998778,0.340025700001206,0.0407473880353956,0.37170548254133,0.00479090076610051,con
0.550023200001306,0.219973300001584,0.330049899999722,0.0299932814404596,0.365644487893549,0.00325642588699503,con
0.480079999999361,0.0701432000005298,0.409936799998832,0.0457514671763755,0.371135324490746,0,con
0.690036600000894,0.160025800001677,0.530010799999218,0.136523817813716,0.464723779548533,0.0162846131411662,con
0.460100399999646,0.0600216000002547,0.400078799999392,0.0544415527906148,0.369444397192316,2.95604134450999e-06,con
