rt,react,mt,mad,tot_dist,auc,labels
0.549976700000116,0.210023199999341,0.339953500000775,0.0577172498304985,0.367136715906973,0.00185766475131674,con
0.61993480000001,0.19997770000009,0.41995709999992,0.0856723026371277,0.390247803818617,0.00823654402614688,con
0.550066800000423,0.180061099999875,0.370005700000547,0.115656758715262,0.407010424163673,0.0131912989445306,con
0.609965900000134,0.120232400000532,0.489733499999602,0.142873091433634,0.431511683498351,0.0125831577853452,con
0.559973700000228,0.179979699999421,0.379994000000806,0.121232564876385,0.421223993933477,0.015448640934821,con
0.600072799999907,0.240110499999901,0.359962300000007,0.0744976854701167,0.365090537986935,0.00433361287697259,con
0.559982699999637,0.150064399999792,0.409918299999845,0.085521347770753,0.389757355054877,0.00178432161656115,con
0.570059300000139,0.199950799999897,0.370108500000242,0.0579095876528202,0.363315789982611,0.000131374608071832,con
0.500014799999917,0.140047599999889,0.359967200000028,0.0492250113273853,0.360308353761358,0.00177274025337541,con
0.559939900000245,0.169990899999902,0.389949000000342,0.0650266070719312,0.364808479314803,0.00159633803077576,con
0.559521799999857,0.109520099999827,0.45000170000003,0.0381814991708159,0.366138290770501,0,con
0.610023799999908,0.0900828000003457,0.519940999999562,0.125560068111515,0.430469029128478,0.014576420695712,con
0.610058899999785,0.0999830999999176,0.510075799999868,0.121555562795327,0.412652850519531,0.0074251307433119,con
0.690092699999695,0.180010899999616,0.51008180000008,0.166709193576131,0.490021381985223,0.016935810345172,con
0.629920299999867,0.259922399999596,0.369997900000271,0.0393099685010148,0.35850222648864,0.00243146378968229,con
0.610102300000108,0.190009800000553,0.420092499999555,0.0660394686926841,0.369786285555323,0.000798406865145132,con
0.589960999999676,0.26102230000015,0.328938699999526,0.0606642289957782,0.365510667052639,0.00188319849308819,con
0.549580800000513,0.189870300000621,0.359710499999892,0.0488192463245408,0.361218774726625,9.57051872374892e-05,con
0.559950699999717,0.189964000000145,0.369986699999572,0.0587654890920612,0.364997512588793,0.0061987978406053,con
0.590078599999288,0.150057699999707,0.440020899999581,0.051971659362512,0.358424749811402,0.00305760317211008,con
0.559893599999668,0.229843899999651,0.330049700000018,0.0689795556258556,0.360013291562087,8.84474865382005e-05,con
0.59996350000074,0.120560900000783,0.479402599999958,0.102067215314393,0.38262302550365,0.0083289828852543,con
0.630015800000365,0.230047000000013,0.399968800000352,0.0277754334854882,0.356555739363752,0.0021231891068661,con
0.539871500000118,0.179931699999543,0.359939800000575,0.0632732873219191,0.358800967381503,4.08894862052762e-05,con
0.539920599999277,0.189840199999708,0.35008039999957,0.0370223961381721,0.358674256041581,0.00142091262335802,con
0.569991100000152,0.189902699999948,0.380088400000204,0.0559896711892866,0.378755875508672,0.00369665131506696,con
0.569989499999792,0.199991699999373,0.369997800000419,0.0592994789666078,0.364167381406823,0.00280563605500273,con
0.670065199999954,0.140063599999849,0.530001600000105,0.128072233202512,0.465021618572471,0.00797199429019001,con
0.619955999999547,0.159955599999194,0.460000400000354,0.151255923648626,0.443948580594655,0.00887345678872042,con
0.709872100000212,0.19984580000073,0.510026299999481,0.157730861503121,0.469944985607117,0.0121703865011037,con
0.549969200000305,0.219927699999971,0.330041500000334,0.0651222659435389,0.364268758972249,0,con
0.640379099999336,0.2100204999997,0.430358599999636,0.0798808288901182,0.373579129723498,0.00615867324963411,con
0.559981200000038,0.210025200000018,0.34995600000002,0.0530853944517279,0.358448012103915,0.00223376488350746,con
0.73008370000025,0.220009099999515,0.510074600000735,0.077118974042758,0.359689563799216,0.000149108845573482,con
0.550017799999296,0.16995659999975,0.380061199999545,0.0610165593661923,0.37029660011661,0.0012351069606967,con
0.709887299999536,0.229885800000375,0.480001499999162,0.133732211403288,0.454827917048085,0.00834110398351023,con
0.580000400000245,0.24001060000046,0.339989799999785,0.0761173465527945,0.376441373105877,0.00150457830925293,con
0.689995800000361,0.16999560000022,0.52000020000014,0.122049228435396,0.488490688413367,0.0117345998919199,con
0.550055000000611,0.130008300000554,0.420046700000057,0.0840623580119172,0.378483427636453,0.00749862394911852,con
0.610069899999871,0.210017399999742,0.400052500000129,0.0506463341248809,0.360682958689457,0.0037989378975882,con
0.579951800000345,0.179984600000353,0.399967199999992,0.0819167166359627,0.379701919429636,0.0059223205688947,con
0.559938800000054,0.229982500000006,0.329956300000049,0.0360338830676125,0.361867903363769,0.000822360778146122,con
0.50972129999991,0.120017499999449,0.389703800000461,0.102139170125074,0.384244979268284,0.00840980216615377,con
0.550027400000545,0.150063900000532,0.399963500000013,0.0715269913583068,0.368484484599533,0.00113642329073461,con
0.510036800000307,0.140036200000395,0.370000599999912,0.0805422493994487,0.381620845466503,0.00697370763402487,con
0.48018619999948,0.140062899999975,0.340123299999505,0.0991823946461158,0.383656213411057,0.006979118248469,con
0.55006130000038,0.190030000000661,0.360031299999719,0.0794976692882165,0.376054824296239,0.00449390741529817,con
0.500011400000403,0.150021000000379,0.349990400000024,0.0508143529571756,0.367505932078534,0.00297399266878765,con
0.610054800000398,0.180039100000613,0.430015699999785,0.108230085684299,0.402242359525416,0.0127149106642024,con
0.540060300000732,0.170038500000373,0.370021800000359,0.0577300169185582,0.365096641380411,0.000367719622950171,con
0.549914499999431,0.119921299999987,0.429993199999444,0.0568099147735909,0.373533248876616,0.00670113811373379,con
0.500012500000594,0.130006400000639,0.370006099999955,0.0563115699756944,0.369743285155336,0.00309574945731171,con
0.59008890000041,0.220013500000277,0.370075400000133,0.0622620359056887,0.366674104793103,0,con
0.579932999999983,0.200418899999931,0.379514100000051,0.121172105854302,0.392886851082288,0.0102164540009313,con
