Flavor,Comparison,Effect_Size_Diff,CI_Lower,CI_Upper,P_Value
noTrajNorm_noStandardization,mt_minus_react,0.795887632771647,0.0235599998998971,1.50048722943873,0.0424
noTrajNorm_noStandardization,mad_minus_react,0.448551379773091,-0.270109611394304,1.16064322863979,0.2132
noTrajNorm_noStandardization,react_minus_com,0.0102431425009609,-0.567751096259293,0.788796015964963,0.9478
noTrajNorm_noStandardization,tot_dist_minus_react,0.499884059160637,-0.150121576917741,1.09473767404651,0.1206
noTrajNorm_noStandardization,auc_minus_react,0.26629021001382,-0.371961177027451,0.819406239692017,0.4012
noTrajNorm_noStandardization,react_minus_max_vel,0.173959821260157,-0.29507134335167,0.825057196480389,0.515
noTrajNorm_noStandardization,ra_minus_react,0.320479656887633,-0.327820727118258,0.851923605185378,0.3384
noTrajNorm_noStandardization,kb_rt_minus_react,0.778999834891942,0.0265634856924257,1.47638888970726,0.0434
noTrajNorm_noStandardization,head_angle_minus_react,0.252271317193845,-0.415234853348489,0.7419973298585,0.4624
noTrajNorm_noStandardization,iep_minus_react,0.319567039713726,-0.338387865909519,0.804384446651961,0.3424
noTrajNorm_noStandardization,traj_minus_react,0.320754871180709,-0.34043697707181,0.85088215052656,0.3574
noTrajNorm_noStandardization,react_minus_x_std,0.160299559796854,-0.34038042087655,0.900775865571801,0.5874
noTrajNorm_noStandardization,vel_minus_react,0.347767976143898,-0.329323411653047,0.847354896659491,0.3228
noTrajNorm_noStandardization,mt_minus_mad,0.347336252998557,-0.328395086303446,0.966225604346324,0.3314
noTrajNorm_noStandardization,mt_minus_com,0.806130775272608,0.445365535392509,1.31546775281754,0
noTrajNorm_noStandardization,mt_minus_tot_dist,0.29600357361101,-0.289103452634317,0.874310534307266,0.3112
noTrajNorm_noStandardization,mt_minus_auc,0.529597422757827,-0.0474625469007003,1.1318393730937,0.0704
noTrajNorm_noStandardization,mt_minus_max_vel,0.969847454031805,0.459642265187978,1.56353813993175,0
noTrajNorm_noStandardization,mt_minus_ra,0.475407975884014,0.0213376821314178,1.01123286236304,0.0388
noTrajNorm_noStandardization,mt_minus_kb_rt,0.0168877978797055,-0.60729324339524,0.670433886335083,0.9682
noTrajNorm_noStandardization,mt_minus_head_angle,0.543616315577802,0.195710021734726,1.00152642298822,0.0008
noTrajNorm_noStandardization,mt_minus_iep,0.476320593057921,0.116359958329807,0.95002358293108,0.0076
noTrajNorm_noStandardization,mt_minus_traj,0.475132761590938,0.083487256477129,0.975772833542736,0.017
noTrajNorm_noStandardization,mt_minus_x_std,0.956187192568501,0.632943083736574,1.44392747280149,0
noTrajNorm_noStandardization,mt_minus_vel,0.44811965662775,0.108181350333263,0.892662709253241,0.0084
noTrajNorm_noStandardization,mad_minus_com,0.458794522274051,0.0546509865084281,1.03760537903717,0.0238
noTrajNorm_noStandardization,tot_dist_minus_mad,0.0513326793875469,-0.362899604934567,0.359745961067999,0.7448
noTrajNorm_noStandardization,mad_minus_auc,0.182261169759271,-0.077543527562967,0.605554953330175,0.1776
noTrajNorm_noStandardization,mad_minus_max_vel,0.622511201033248,0.136843489574787,1.27384638175082,0.0112
noTrajNorm_noStandardization,mad_minus_ra,0.128071722885457,-0.136052264767902,0.581613897548344,0.3822
noTrajNorm_noStandardization,kb_rt_minus_mad,0.330448455118851,-0.444051739106567,1.06139448333673,0.3806
noTrajNorm_noStandardization,mad_minus_head_angle,0.196280062579245,-0.108533472320627,0.71684794194909,0.2486
noTrajNorm_noStandardization,mad_minus_iep,0.128984340059365,-0.149703972766498,0.620566327550762,0.425
noTrajNorm_noStandardization,mad_minus_traj,0.127796508592381,-0.128094764564495,0.589984582665162,0.379
