Flavor,Effect,Metric_Used,Has_Outliers,Mean_Diff,SD_Diff,Reported_Effect_Size,Cohens_dz,Dependent_AKP,CI_Lower,CI_Upper
noTrajNorm_noStandardization,react,Dependent_AKP,1,-2.34385934086389,10.1337948209132,0.394458626497641,0.231291375273047,0.394458626497641,0.0339211002506881,1.05221622970072
noTrajNorm_noStandardization,mt,Cohen_dz,0,-12.0070116946873,10.0869907400373,1.19034625926929,1.19034625926929,1.19862401041888,0.826164929366419,1.7391178793746
noTrajNorm_noStandardization,mad,Dependent_AKP,1,-0.00767135330363633,0.0102176222046553,0.843010006270731,0.750796334996725,0.843010006270731,0.377644757076262,1.52855129136961
noTrajNorm_noStandardization,com,Cohen_dz,0,-0.0858737842986939,0.223504225819894,0.38421548399668,0.38421548399668,0.286123534509349,0.0599351356746823,0.765632886707405
noTrajNorm_noStandardization,tot_dist,Cohen_dz,0,-0.00868069408610361,0.00970622807712036,0.894342685658278,0.894342685658278,0.974680046287406,0.506026506035661,1.4909450461848
noTrajNorm_noStandardization,auc,Cohen_dz,0,-0.0012053964625687,0.00182428843754428,0.660748836511461,0.660748836511461,0.661807484548501,0.287733484500856,1.19881723630404
noTrajNorm_noStandardization,max_vel,Cohen_dz,0,-0.0128580868418512,0.058313634978669,0.220498805237483,0.220498805237483,0.155884797660477,0.0132754780647492,0.579382416920194
noTrajNorm_noStandardization,ra,Cohen_dz,0,0.00253553935026485,0.0035465150058253,0.714938283385274,0.714938283385274,0.629033062667048,0.366937643356787,1.15822288071712
noTrajNorm_noStandardization,kb_rt,Cohen_dz,0,-19.9291648895067,16.9832725616099,1.17345846138958,1.17345846138958,1.1105279392914,0.843707529007462,1.73256371364798
noTrajNorm_noStandardization,head_angle,Cohen_dz,0,2.89763704086209,4.48676813430111,0.646729943691486,0.646729943691486,0.646729943691486,0.391196510961772,0.987643621330802
noTrajNorm_noStandardization,iep,Cohen_dz,0,0.015321926729087,0.0218552914017735,0.714025666211367,0.714025666211367,0.714025666211367,0.442132118952431,1.06946969068247
noTrajNorm_noStandardization,traj,Cohen_dz,0,0.00880133653875929,0.0116956652169919,0.71521349767835,0.71521349767835,0.71521349767835,0.387504716948128,1.1386971203286
noTrajNorm_noStandardization,x_std,Cohen_dz,0,0.00131470486457884,0.00358167296092489,0.234159066700787,0.234159066700787,0.234159066700787,0.017326471696972,0.496750388931435
noTrajNorm_noStandardization,vel,Cohen_dz,0,0.0745072496041145,0.0975770012918668,0.742226602641538,0.742226602641538,0.742226602641538,0.487555246531502,1.08861324907883
TrajNorm_noStandardization,react,Dependent_AKP,1,-1.76345161130083,9.5206617888424,0.294816063543316,0.185223637853357,0.294816063543316,0.018445314390622,0.915327889386162
TrajNorm_noStandardization,mt,Cohen_dz,0,-13.1277162760327,11.2288776538455,1.16910315355844,1.16910315355844,0.897622291152366,0.919277704463693,1.55370948323517
TrajNorm_noStandardization,mad,Dependent_AKP,1,-0.00772586100734496,0.00904814385400747,0.926794501668096,0.853861425282616,0.926794501668096,0.513459292608177,1.66471936726434
TrajNorm_noStandardization,com,Cohen_dz,0,-0.223543188931166,0.483960547605101,0.461903744091081,0.461903744091081,0.333953016240208,0.145835363569668,0.816342668335857
TrajNorm_noStandardization,tot_dist,Cohen_dz,0,-0.00898766892167153,0.00947212460446865,0.948854591443131,0.948854591443131,1.0461536355695,0.547164984844483,1.6009500997852
TrajNorm_noStandardization,auc,Cohen_dz,0,-0.170509722100234,0.238643548126648,0.714495419795485,0.714495419795485,0.738255233509101,0.354680372784501,1.20310154084208
TrajNorm_noStandardization,max_vel,Cohen_dz,0,0,0,NaN,NaN,NaN,NaN,NaN
TrajNorm_noStandardization,ra,Cohen_dz,0,0.346752244673617,0.505432546154857,0.686050487471729,0.686050487471729,0.607291839031737,0.333777549441171,1.1465854852506
TrajNorm_noStandardization,kb_rt,Cohen_dz,0,-0.0199291648895067,0.0169832725616099,1.17345846138958,1.17345846138958,1.1105279392914,0.843707529007461,1.73256371364798
TrajNorm_noStandardization,head_angle,Cohen_dz,0,0.58043735126397,1.43017767016163,0.40466142920378,0.40466142920378,0.40466142920378,0.085927143703444,0.748755597560712
TrajNorm_noStandardization,iep,Cohen_dz,0,0.0103527822997634,0.0236774969951568,0.433987978824604,0.433987978824604,0.433987978824604,0.114264320693084,0.778897430861027
TrajNorm_noStandardization,traj,Cohen_dz,0,0.000871709306373136,0.00275486692541643,0.308765751315366,0.308765751315366,0.308765751315366,0.0282171609857019,0.639812401094342
TrajNorm_noStandardization,x_std,Cohen_dz,0,0.00208846880413778,0.00435839441554408,0.359771983496857,0.359771983496857,0.359771983496857,0.110437454597244,0.624071445419135
TrajNorm_noStandardization,vel,Cohen_dz,0,0,0,NaN,NaN,NaN,NaN,NaN
